mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;10;938;0;0;0;0;-1;0
2;29;1450;0;0;0;0;-1;0
3;9;1199;0;0;0;0;-1;0
4;36;1253;0;0;0;0;-1;0
5;32;1462;0;0;0;0;-1;0
6;1;1540;0;0;0;0;-1;0
7;19;1696;0;0;0;0;-1;0
1;10;0;337;9140;0;0;-1;1
8;6;1709;0;0;0;0;-1;0
2;29;0;4;10371;0;0;-1;1
9;7;1979;0;0;0;0;-1;0
10;4;2095;0;0;0;0;-1;0
3;9;0;7;12424;0;0;-1;1
4;36;0;5;12330;0;0;-1;1
11;26;1936;0;0;0;0;-1;0
5;32;0;16;12183;0;0;-1;1
12;22;1890;0;0;0;0;-1;0
6;1;0;7;12474;0;0;-1;1
13;31;1732;0;0;0;0;-1;0
7;19;0;9;11395;0;0;-1;1
14;23;1368;0;0;0;0;-1;0
8;6;0;5;11427;0;0;-1;1
15;37;1977;0;0;0;0;-1;0
9;7;0;14;11865;0;0;-1;1
16;38;2363;0;0;0;0;-1;0
10;4;0;28;11820;0;0;-1;1
17;5;1403;0;0;0;0;-1;0
11;26;0;13;12778;0;0;-1;1
18;33;2066;0;0;0;0;-1;0
12;22;0;3;11624;0;0;-1;1
19;3;1775;0;0;0;0;-1;0
13;31;0;8;11765;0;0;-1;1
20;8;1704;0;0;0;0;-1;0
14;23;0;20;11995;0;0;-1;1
21;27;1411;0;0;0;0;-1;0
22;24;1657;0;0;0;0;-1;0
15;37;0;9;12716;0;0;-1;1
16;38;0;7;12363;0;0;-1;1
23;2;2356;0;0;0;0;-1;0
17;5;0;1;11954;0;0;-1;1
24;25;1929;0;0;0;0;-1;0
18;33;0;4;12144;0;0;-1;1
25;10;1437;0;0;0;0;-1;0
19;3;0;5;12219;0;0;-1;1
26;10;1740;0;0;0;0;-1;0
20;8;0;3;11867;0;0;-1;1
27;10;1833;0;0;0;0;-1;0
21;27;0;11;12872;0;0;-1;1
28;10;2024;0;0;0;0;-1;0
22;24;0;13;12471;0;0;-1;1
29;10;1501;0;0;0;0;-1;0
23;2;0;6;11542;0;0;-1;1
30;10;1847;0;0;0;0;-1;0
31;10;1710;0;0;0;0;-1;0
24;25;0;9;12282;0;0;-1;1
25;10;0;3;12620;0;0;-1;1
32;10;2105;0;0;0;0;-1;0
33;10;1654;0;0;0;0;-1;0
26;10;0;2;13624;0;0;-1;1
34;10;1820;0;0;0;0;-1;0
27;10;0;2;12874;0;0;-1;1
28;10;0;2;11839;0;0;-1;1
29;10;0;2;11554;0;0;-1;1
30;10;0;2;11398;0;0;-1;1
31;10;0;3;10486;0;0;-1;1
32;10;0;30;9580;0;0;-1;1
33;10;0;2;8728;0;0;-1;1
34;10;0;3;7451;0;0;-1;1
